TIENDAS,HOSTNAME,NS,MODELO,SO,CPU,HHD SSD NVME,RAM
BLUEBAY BOUTIQUE SERVIDOR,BBAYBOUTSVR,YJ01VNDA,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM 
BLUEBAY PLAYA SERVIDOR,BBAYPYASVR,MJ0FF9EJ,LENOVO M70q Desktop,W11,i5-10400T,NVME 500 GB,16 GB DRR4 SODIMM 
BLUEBAY TABAQUERIA SERVIDOR,BBAYSVR,95T8CM2,DELL OptiPlex 7050 Micro,W10,i5-7500T,SSD 250 GB,16 GB DRR4 SODIMM 
BLUEBAY TAB CAJA 1,RIVBLUBAYTC1,MJ04LR7E,LENOVO M800 Desktop,W10,I5-6400,SSD 250 GB,16 GB
BLUEBAY TAB CAJA 2,RIVBLUBAYTC2,MJ02JRRT,LENOVO M83 Desktop,W10,I5-4460,SSD 250 GB,16 GB DRR3 DIMM 
BLUEBAY JOY CAJA,BBAYJOYERIA-J01,MJ04LR5U,LENOVO M800 Desktop,W10,I5-6400,SSD 120 GB,8 GB
H10 OCEAN PARADISE SERVIDOR - caja 3,H10PARSVR,YJ01VPD6,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM 
H10 OCEAN PARADISE TAB CAJA1,RIVH10OCPTC1,MJ03VEF9,LENOVO M800 Desktop,W10,I5-6400,HDD 500 GB,8 GB DDR 3 DIMM 
H10 OCEAN PARADISE TAB CAJA 2,RIVH10OCPTC2,MJ03V9LL,LENOVO M800 Desktop,W10,I5-6400,SSD 500 GB,8 GB DDR 3 DIMM 
H10 OCEAN PARADISE RECEPTOR Juan Yanos,,,,,,,
H10 OCEAN PARADISE TAB RECEPTOR - impresora,RIVH10OCPTR,JD6KWW2,DELL OptiPlex 7060 Tower,W10,I5-8400,HDD 1 TB ,8 GB DDR 3 DIMM 
H10 OCEAN PARADISE JOY CAJA,CAJAJOY,MJ03VEJR,LENOVO M800 Desktop,W10,i5-6400,HDD 500 GB,8 GB DDR 3 DIMM 
H10 RIVIERA SERVIDOR (ocean maya),H10RSVR,JBG8JG2,DELL OptiPlex 7060 Micro,W11,i5-8500T,SSD 500 GB,16 GB DRR4 SODIMM 
H10 RIVIERA TAB CAJA (ocean maya),RIVH10OCMTC1,MJ03XGQ3,LENOVO M800 Desktop,W10,i5-6400,HDD 500 GB,8 GB DDR 3 DIMM 
HYATT ZILARA SERVIDOR,HYTZILSVR,YJ01ZK81,Neo 50q Gen 4 ,W11,i5-13420H,NVME 500 GB,16 GB SODIM
HYATT ZILARA JOY CAJA,HYATTZILARAJOY,YJ01TQRZ,Neo 50q Gen 4,W11,I3-1215U,NVME 500 GB,16 GB SODIM
PALLADIUM RIVIERA SERVIDOR,SVRPCOLONIA,65SCDZ3,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,24 GB DRR4 SODIMM 
PALLADIUM RIV WHITESANDS CAJA1,RIVPALWHSBC1,MJ03XMTE,LENOVO M800 Desktop,W10,I5-6400,HDD 500 GB ,8 GB DRR3 DIMM 
PALLADIUM RIV WHITESANDS CAJA2,RIVPALWHSBC2,MJ03VEJE,LENOVO M800 Desktop,W10,i5-6400,SSD 120 GB ,8 GB DRR3 DIMM 
PALLADIUM RIV PLAYA CAJA,RIVPALPYAPC1,MJ03VQEU,LENOVO M800 Desktop,W10,I5-6400,SSD 250 GB ,16 GB DRR3 DIMM 
PALLADIUM RIV COL AMIANI CAJA,RIVPALCOLBC1,7M5S5S3,DELL OptiPlex 7000 Micro,W10,I5-12500T,SSD 250 GB ,16 GB DRR4 SODIMM 
PALLADIUM JOY COLONIAL,RIVPALCOLJC1,YJ01VN2N,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM 
PALLADIUM RIV KANTENAH CAJA1,RIVPALKANTC1,MJ04LRA5,LENOVO M800 Desktop,W10,I5-6400,SSD 250 GB,8 GB DRR3 DIMM 
PALLADIUM RIV KANTENAH CAJA2,RIVPALKANTC2,MJ039676,LENOVO M83 Desktop,W10,I3-4150,SSD 250 GB,8 GB DRR3 DIMM 
PALLADIUM RIV KANTENAH RECEPTOR,RIVPALKANRCP,,,W10,I5-7500T,HDD 1 TB ,8 GB DRR3 DIMM 
PALLADIUM ROYAL JOY SERVIDOR,SVRPROYAL,YJ01TQVZ,LENOVO Neo 50q Gen 4 ,W11,i3-1215U,NVMe 500 GB ,16 GB DRR4 SODIMM 
PRINCESS RIVIERA SERVIDOR,PRINRIVSVR,YJ01VMMJ,LENOVO Neo 50q Gen 4 ,W11,i5-13420H,NVMe 500 GB ,16 GB DRR4 SODIMM 
PRINCESS RIV CAJA1,RIVPRNRIVMC1,3D7M9N2,DELL OptiPlex 7050 Micro,W10,I5-7500T,HDD 1 TB,8 GB DRR4 SODIMM 
PRINCESS RIV CAJA2,RIVPRNRIVMC2,MJ02YE3J,LENOVO M83 Desktop,W10,I5-4460,SSD 120 GB ,8 GB DRR3 DIMM 
PRINCESS RIV JOY CAJA,RIVPRNRIVJOY,MJ015XJT,LENOVO M83 Desktop ,W10,I5-4440S,SSD 120 GB ,8 GB DRR3 DIMM 
PRINCESS RIV TDA PLAYA SERVIDOR,PRIVPYASVR,MJ0GHWS3,LENOVO M75q Gen 2,W11,RYZEN 5 PRO 4650GE,NVMe 250 GB ,8 GB DRR4 SODIMM
RIU LUPITA SERVIDOR,SVRRIULUP,6943JL2,DELL OptiPlex 7050 Micro,W10,i5-7500T,SSD 250 GB,16 GB DRR4 SODIMM 
SANDOS CANCUN,SVRSDOSCUN,YJ01ZK1P,Neo 50q Gen 4,W11,i5-13420H,NVMe 500 GB,16 GB DRR4 SODIMM 
SANDOS CARACOL SERVIDOR,SVRSDOSCAR,JGH3DP2,DELL OptiPlex 7050 Micro,W10,i5-7500T,SSD 250 GB,16 GB DRR4 SODIMM 
SANDOS CARACOL RECEPTOR,SVR,MJ00XLV1,LENOV O M83 Desktop,W10,I5-4440S,HDD 500 GB ,8 GB DRR3 DIM 
SANDOS CARACOL CAJA 1,RIVSANCARTC1,MJ0360BL,LENOVO M83 Desktop,W10,I5-4460,HDD 500 GB ,8 GB DRR3 DIM 
SANDOS CARACOL CAJA 2 (Anydesk del servidor),RIVSANCARTC2,MJ03XGP1,LENOVO M800 Desktop,W10,I5-6400,HDD 500 GB ,8 GB DRR3 DIM 
