#,TIENDAS,HOSTNAME,,NS,MODELO,SO,CPU,HHD SSD NVME,RAM
1,BEACHPALACE SERVIDOR* ,BEACHSVR,,3DDL9N2,DELL OptiPlex 7050 Micro,W10,I5 7500T,SSD 250 GB,16 GB DDR4 SODIMM
2,BEACHPALACE TAB CAJA,CUNBEACHPTC1,,MJ03XGPE,LENOVO M800 Desktop,W10,I5-6400,HDD 500 GB,16 GB DDR3 DIMM 
3,BEACHPALACE JOY CAJA,JoyBeachPalace,,MJ0360BT,LENOVO M83 Desktop,W10,I5-4460,HDD 500 GB,16 GB DDR3 DIMM 
4,*CUN T2 TDA CORONA PA ,SVRCUNT2PA,,YJ01HG4V,LENOVO Neo 50q Gen 4 Desktop (ThinkCentre) - Type 12LM,W11,I5 13420H,NVME 500 GB,16 GB DDR4 SODIMM
5,*CUN T2 TDA CORONA PB ,SVRCUNT2PB,,DCSMHK2,DELL OptiPlex 7050 Micro,W10,I5 7500T,SSD 250 GB,16 GB DDR4 SODIMM
6,CUN T3 ISLA CORONA C11,SVRCUNT3C11,,7V2L8X2,OptiPlex 7060 Micro,W11,I5 8500T,SSD 500 GB,16 GB DDR4 SODIMM
7,CUN T3 ISLA CORONA C20,SVRCUNT3C20,,7TSM8X2,DELL OptiPlex 7060 Micro,W10,i5-8500T,SSD 500 GB,16 GB DDR4 SODIMM
8,LE BLANC CANCUN SERVIDOR,LEBLANCSVR,,YJ01Q7J5,LENOVO Neo 50q Gen 4 ,W11,I5-13420H,NVME 500 GB,16 GB DDR4 SODIMM
9,LE BLANC CANCUN TAB CAJA,CANLEBLANB01,,MJ00HB8V,LENOVO M83 Desktop,W10,I5-4440S,SSD 120 GB,8 GB DDR3 DIMM 
10,LE BLANC CANCUN JOY CAJA,CUNLEBLANCJC1,,MJ01R425,LENOVO M70q Desktop ,W10,I5-4460,HDD 1 TB,8 GB DDR3 DIMM 
11,MOON GRAND SERVIDOR,MULTIMOONGRANDSVR,,MJ0FF9E9,,W11,i5-10400T,NVME 500 GB,16 GB DDR4 SODIMM
12,MOON GRAND MULTI CAJA,CUNMONGRDMC02,,JGHSQP2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 500 GB ,8 GB DDR4 SODIMM
13,MOON GRAND PUEBLITO CAJA 1 (multi.corazon.c3),MoonGrand_Sipatron,,YJ01VNKP,LENOVO Thinkcentre Neo50q 12LM,W11,i5-13420H,NVME 480 GB,16 GB DDR4 SODIMM
14,MOON GRAND PUEBLITO CAJA 2 (multi.corazon.c4),CUNMONGRDCC2,,MJ0KMW7T,LENOVO M70q Gen 3,W11,I5-12400T,NVME 250 GB,16 GB DDR4 SODIMM
15,MOON GRAND JOY CAJA,JoyMoonGrand,, YJ01VPA7,LENOVO Neo 50q Gen 4 Desktop (ThinkCentre) - Type 12LM,W11,I5 13420H,NVME 500 GB,16 GB DDR4 SODIMM
